exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2
th_1,913.23,913.23,913.23,913.23,0,Mbps,,,,,,
th_2,452.285,452.285,452.285,452.285,0,Mbps,452.285,452.285,452.285,452.285,0,Mbps
th_3,913.23,913.23,913.23,913.23,0,Mbps,,,,,,
th_4,452.285,452.285,452.285,452.285,0,Mbps,452.285,452.285,452.285,452.285,0,Mbps
th_5,452.285,452.285,452.285,452.285,0,Mbps,452.285,452.285,452.285,452.285,0,Mbps
afct_1,5.673,5.673,5.673,5.673,0,sec,,,,,,
afct_2,9.89,9.89,9.89,9.89,0,sec,9.89,9.89,9.89,9.89,0,sec
afct_3,5.673,5.673,5.673,5.673,0,sec,,,,,,
afct_4,9.89,9.89,9.89,9.89,0,sec,9.89,9.89,9.89,9.89,0,sec
afct_5,9.89,9.89,9.89,9.89,0,sec,9.89,9.89,9.89,9.89,0,sec